epoch,loss,lr,val_loss
0,0.5209074528490911,0.001,0.7325274348258972
1,0.26373355139474397,0.001,0.7250309586524963
2,0.19327533440511735,0.001,0.6732638478279114
3,0.15035243088104686,0.001,0.6152422428131104
4,0.12634545271513892,0.001,0.5812398791313171
5,0.11262949641610755,0.001,0.5400872230529785
6,0.10445617261480113,0.001,0.4896215796470642
7,0.09593283836958838,0.001,0.4609592854976654
8,0.08411592440526994,0.001,0.40539026260375977
9,0.0818414526884673,0.001,0.37702786922454834
10,0.0817931961329257,0.001,0.3678649663925171
11,0.07892529495426866,0.001,0.3161809742450714
12,0.07340554917444948,0.001,0.29757916927337646
13,0.06847300465966834,0.001,0.2630631923675537
14,0.06785111495705902,0.001,0.23982548713684082
15,0.06756753547758353,0.001,0.2399350106716156
16,0.06651005771805028,0.001,0.22273696959018707
17,0.06371985876657923,0.001,0.1987297534942627
18,0.06207839143080789,0.001,0.18523290753364563
19,0.06250705020349534,0.001,0.17697037756443024
20,0.05874799973652011,0.001,0.1741952747106552
21,0.05464502350717294,0.001,0.1613297015428543
22,0.06060439830676454,0.001,0.14647811651229858
23,0.056307062689886715,0.001,0.15271809697151184
24,0.05604322511153143,0.001,0.1298730969429016
25,0.05897776293950003,0.001,0.14413297176361084
26,0.05275529726851182,0.001,0.1331300586462021
27,0.05016668855411108,0.001,0.12791834771633148
28,0.05030749457292869,0.001,0.12709283828735352
29,0.04521622441586901,0.001,0.107350654900074
30,0.04992383132215406,0.001,0.11106795817613602
31,0.051105776526888864,0.001,0.12433797866106033
32,0.04777992199190327,0.001,0.12540161609649658
33,0.04998899813069672,0.001,0.12543067336082458
34,0.04515380510052697,0.001,0.13258059322834015
35,0.04430847327973022,0.001,0.11337831616401672
36,0.044871337711811066,0.001,0.10159706324338913
37,0.04191708473152802,0.001,0.1066998764872551
38,0.04121359901838615,0.001,0.10548551380634308
39,0.04470416146223662,0.001,0.10565228760242462
40,0.042239155864617864,0.001,0.10388293862342834
41,0.04065783364606685,0.001,0.10444286465644836
42,0.04124691490022862,0.001,0.08728509396314621
43,0.040082069205456095,0.001,0.08768799155950546
44,0.03934139025504472,0.001,0.08682596683502197
45,0.03781708787943496,0.001,0.08272208273410797
46,0.03773691963221206,0.001,0.08860467374324799
47,0.037494271077582096,0.001,0.08108611404895782
48,0.03815302338267936,0.001,0.08070462197065353
49,0.038933877634709,0.001,0.07885494828224182
50,0.03784519543901819,0.001,0.09064523875713348
51,0.03630618347984846,0.001,0.08324886858463287
52,0.03678490923809224,0.001,0.08878140151500702
53,0.03431664297326666,0.001,0.08027900755405426
54,0.03423345785160534,0.001,0.06866027414798737
55,0.03517720152120121,0.001,0.06563185155391693
56,0.03593875394492853,0.001,0.07564987987279892
57,0.03355358260088279,0.001,0.0622287280857563
58,0.03557864955214203,0.001,0.07613407075405121
59,0.03305187338932616,0.001,0.0794416218996048
60,0.033672772286856764,0.001,0.07534487545490265
61,0.033602658292797745,0.001,0.06517745554447174
62,0.03316965815229494,0.001,0.08811317384243011
63,0.032788676744113204,0.001,0.07812309265136719
64,0.03322894950626326,0.001,0.05968637019395828
65,0.03169717053409483,0.001,0.0721282809972763
66,0.03159068243913963,0.001,0.08541621267795563
67,0.03347508505475326,0.001,0.07043106853961945
68,0.03129552536811985,0.001,0.06355805695056915
69,0.03227515946157643,0.001,0.06629074364900589
70,0.03201414363794639,0.001,0.0607355535030365
71,0.030748465327454396,0.001,0.0735231339931488
72,0.02983629862304594,0.001,0.07182349264621735
73,0.031226467280114283,0.001,0.07053325325250626
74,0.029904155762957744,0.001,0.05808910354971886
75,0.028918850067697587,0.001,0.07220375537872314
76,0.029224765349607,0.001,0.06563937664031982
77,0.029841587436003764,0.001,0.06733193248510361
78,0.030434637070923556,0.001,0.056527942419052124
79,0.030106324030727636,0.001,0.048106882721185684
80,0.02918647577772375,0.001,0.07060221582651138
81,0.02934744312870698,0.001,0.05116419121623039
82,0.029833793517996053,0.001,0.059964343905448914
83,0.027674649704675206,0.001,0.05839620530605316
84,0.027542894706130028,0.001,0.0641394630074501
85,0.02822737346907131,0.001,0.053402021527290344
86,0.02739657898296098,0.001,0.05957146733999252
87,0.027521920222483696,0.001,0.05637941509485245
88,0.026058647751075324,0.001,0.057172991335392
89,0.026876601527948848,0.001,0.04841771721839905
